timestamp_ms,snapshot_id,server_ts_ms,client_rx_ms,latency_ms,jitter_ms
1765321397611,234,1765321397611,1765321397611,0,0
1765321397662,235,1765321397662,1765321397662,0,0
1765321397713,236,1765321397712,1765321397713,1,1
1765321397764,237,1765321397764,1765321397764,0,1
1765321397815,238,1765321397815,1765321397815,0,0
1765321397866,239,1765321397866,1765321397866,0,0
1765321397917,240,1765321397917,1765321397917,0,0
1765321397968,241,1765321397967,1765321397968,1,1
1765321398019,242,1765321398019,1765321398019,0,1
1765321398070,243,1765321398070,1765321398070,0,0
1765321398121,244,1765321398120,1765321398121,1,1
1765321398172,245,1765321398172,1765321398172,0,1
1765321398223,246,1765321398222,1765321398222,0,0
1765321398273,247,1765321398273,1765321398273,0,0
1765321398325,248,1765321398324,1765321398324,0,0
1765321398375,249,1765321398375,1765321398375,0,0
1765321398426,250,1765321398426,1765321398426,0,0
1765321398477,251,1765321398477,1765321398477,0,0
1765321398528,252,1765321398528,1765321398528,0,0
1765321398579,253,1765321398578,1765321398578,0,0
1765321398630,254,1765321398629,1765321398629,0,0
1765321398681,255,1765321398680,1765321398680,0,0
1765321398731,256,1765321398731,1765321398731,0,0
1765321398782,257,1765321398782,1765321398782,0,0
1765321398833,258,1765321398833,1765321398833,0,0
1765321398886,259,1765321398885,1765321398886,1,1
1765321398937,260,1765321398936,1765321398936,0,1
1765321398987,261,1765321398987,1765321398987,0,0
1765321399038,262,1765321399038,1765321399038,0,0
1765321399089,263,1765321399088,1765321399088,0,0
1765321399140,264,1765321399140,1765321399140,0,0
1765321399192,265,1765321399191,1765321399191,0,0
1765321399242,266,1765321399242,1765321399242,0,0
1765321399293,267,1765321399293,1765321399293,0,0
1765321399344,268,1765321399343,1765321399344,1,1
1765321399395,269,1765321399395,1765321399395,0,1
1765321399446,270,1765321399446,1765321399446,0,0
1765321399497,271,1765321399497,1765321399497,0,0
1765321399548,272,1765321399547,1765321399548,1,1
1765321399599,273,1765321399599,1765321399599,0,1
1765321399650,274,1765321399650,1765321399650,0,0
1765321399702,275,1765321399701,1765321399701,0,0
1765321399753,276,1765321399752,1765321399752,0,0
1765321399803,277,1765321399803,1765321399803,0,0
1765321399854,278,1765321399854,1765321399854,0,0
1765321399905,279,1765321399905,1765321399905,0,0
1765321399956,280,1765321399956,1765321399956,0,0
1765321400008,281,1765321400008,1765321400008,0,0
1765321400060,282,1765321400059,1765321400059,0,0
1765321400110,283,1765321400110,1765321400110,0,0
1765321400161,284,1765321400161,1765321400161,0,0
1765321400212,285,1765321400211,1765321400211,0,0
1765321400263,286,1765321400262,1765321400262,0,0
1765321400314,287,1765321400313,1765321400313,0,0
1765321400364,288,1765321400364,1765321400364,0,0
1765321400415,289,1765321400415,1765321400415,0,0
1765321400466,290,1765321400466,1765321400466,0,0
1765321400519,291,1765321400519,1765321400519,0,0
1765321400571,292,1765321400570,1765321400570,0,0
1765321400621,293,1765321400621,1765321400621,0,0
1765321400673,294,1765321400672,1765321400672,0,0
1765321400725,295,1765321400725,1765321400725,0,0
1765321400776,296,1765321400776,1765321400776,0,0
1765321400827,297,1765321400827,1765321400827,0,0
1765321400878,298,1765321400877,1765321400877,0,0
1765321400929,299,1765321400928,1765321400928,0,0
1765321400979,300,1765321400979,1765321400979,0,0
1765321401030,301,1765321401030,1765321401030,0,0
1765321401081,302,1765321401081,1765321401081,0,0
1765321401132,303,1765321401132,1765321401132,0,0
1765321401183,304,1765321401182,1765321401183,1,1
1765321401235,305,1765321401234,1765321401234,0,1
1765321401286,306,1765321401285,1765321401285,0,0
1765321401337,307,1765321401336,1765321401336,0,0
1765321401387,308,1765321401387,1765321401387,0,0
1765321401438,309,1765321401438,1765321401438,0,0
1765321401489,310,1765321401488,1765321401489,1,1
1765321401539,311,1765321401539,1765321401539,0,1
1765321401590,312,1765321401590,1765321401590,0,0
1765321401641,313,1765321401640,1765321401641,1,1
1765321401692,314,1765321401692,1765321401692,0,1
1765321401744,315,1765321401743,1765321401743,0,0
1765321401794,316,1765321401794,1765321401794,0,0
1765321401845,317,1765321401845,1765321401845,0,0
1765321401896,318,1765321401896,1765321401896,0,0
1765321401946,319,1765321401946,1765321401946,0,0
1765321401997,320,1765321401997,1765321401997,0,0
1765321402048,321,1765321402048,1765321402048,0,0
1765321402100,322,1765321402100,1765321402100,0,0
1765321402151,323,1765321402151,1765321402151,0,0
1765321402203,324,1765321402202,1765321402202,0,0
1765321402253,325,1765321402253,1765321402253,0,0
1765321402304,326,1765321402304,1765321402304,0,0
1765321402355,327,1765321402355,1765321402355,0,0
1765321402406,328,1765321402406,1765321402406,0,0
1765321402457,329,1765321402456,1765321402457,1,1
1765321402507,330,1765321402507,1765321402507,0,1
1765321402558,331,1765321402558,1765321402558,0,0
1765321402608,332,1765321402608,1765321402608,0,0
1765321402659,333,1765321402659,1765321402659,0,0
1765321402710,334,1765321402709,1765321402709,0,0
1765321402761,335,1765321402761,1765321402761,0,0
1765321402812,336,1765321402812,1765321402812,0,0
1765321402863,337,1765321402863,1765321402863,0,0
1765321402914,338,1765321402914,1765321402914,0,0
1765321402965,339,1765321402964,1765321402964,0,0
1765321403015,340,1765321403015,1765321403015,0,0
1765321403066,341,1765321403066,1765321403066,0,0
1765321403117,342,1765321403116,1765321403117,1,1
1765321403167,343,1765321403167,1765321403167,0,1
1765321403218,344,1765321403218,1765321403218,0,0
1765321403269,345,1765321403268,1765321403269,1,1
1765321403320,346,1765321403320,1765321403320,0,1
1765321403371,347,1765321403371,1765321403371,0,0
1765321403422,348,1765321403422,1765321403422,0,0
1765321403473,349,1765321403473,1765321403473,0,0
1765321403523,350,1765321403523,1765321403523,0,0
1765321403574,351,1765321403574,1765321403574,0,0
1765321403625,352,1765321403625,1765321403625,0,0
1765321403675,353,1765321403675,1765321403675,0,0
1765321403727,354,1765321403726,1765321403726,0,0
1765321403778,355,1765321403777,1765321403777,0,0
1765321403829,356,1765321403828,1765321403828,0,0
1765321403879,357,1765321403879,1765321403879,0,0
1765321403930,358,1765321403930,1765321403930,0,0
1765321403981,359,1765321403981,1765321403981,0,0
1765321404031,360,1765321404031,1765321404031,0,0
1765321404082,361,1765321404082,1765321404082,0,0
1765321404133,362,1765321404133,1765321404133,0,0
1765321404184,363,1765321404184,1765321404184,0,0
1765321404235,364,1765321404235,1765321404235,0,0
1765321404286,365,1765321404286,1765321404286,0,0
1765321404337,366,1765321404337,1765321404337,0,0
1765321404388,367,1765321404388,1765321404388,0,0
1765321404439,368,1765321404439,1765321404439,0,0
1765321404490,369,1765321404490,1765321404490,0,0
1765321404541,370,1765321404540,1765321404540,0,0
1765321404592,371,1765321404591,1765321404591,0,0
1765321404642,372,1765321404642,1765321404642,0,0
1765321404693,373,1765321404693,1765321404693,0,0
1765321404744,374,1765321404744,1765321404744,0,0
1765321404795,375,1765321404795,1765321404795,0,0
1765321404846,376,1765321404845,1765321404846,1,1
1765321404896,377,1765321404896,1765321404896,0,1
1765321404947,378,1765321404946,1765321404947,1,1
1765321404998,379,1765321404997,1765321404997,0,1
1765321405048,380,1765321405048,1765321405048,0,0
1765321411690,381,1765321411690,1765321411690,0,0
1765321411741,382,1765321411741,1765321411741,0,0
1765321411792,383,1765321411792,1765321411792,0,0
1765321411843,384,1765321411842,1765321411843,1,1
1765321411894,385,1765321411893,1765321411893,0,1
1765321411945,386,1765321411944,1765321411944,0,0
1765321411995,387,1765321411995,1765321411995,0,0
1765321412046,388,1765321412046,1765321412046,0,0
1765321412101,389,1765321412100,1765321412100,0,0
1765321412151,390,1765321412151,1765321412151,0,0
1765321412202,391,1765321412202,1765321412202,0,0
1765321412253,392,1765321412253,1765321412253,0,0
1765321412304,393,1765321412304,1765321412304,0,0
